# ../water-data/level1//L100.runoff_B_bm3.csv
# Written by L100.water.supply.runoff.R
# Wed Mar 28 06:29:47 2018
# " Accessable freshwater runoff by basin ID / Historical and future years "
# " Unit = billion m^3 "
"basin.id","X1975","X1990","X2005","X2010","X2015","X2020","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065","X2070","X2075","X2080","X2085","X2090","X2095","X2100"
58,59.85,81.92,87.66,73.66,74.63,71.96,59.7,73.53,68.84,77.13,63.98,70.47,86.79,72.18,73.21,71.06,60.12,72.99,69.02,77.03,64.64,64.23
59,8.39,6.88,8.14,8.88,7.97,8.52,8.07,9.06,8.7,6.8,8.86,7.98,7.69,8.23,7.28,7.67,7.31,8.24,7.75,6.1,7.95,6.66
60,23.6,20.48,18.35,28.24,26.39,24.02,23.18,27.71,25.81,21.17,26.19,23.92,17.69,27.36,25.54,22.99,22.14,26.66,24.73,20.26,25.22,22.66
61,4.39,3.32,3.44,4.8,4.04,4.57,4.34,3.9,3.87,3.23,4.53,4.42,3.28,4.61,3.85,4.4,4.16,3.74,3.69,3.11,4.36,4.03
62,44.72,33.42,34.18,40.41,37.48,37.69,43.75,41.19,36.91,32.67,38.81,42.03,32.85,39.07,36.17,36.04,42.01,40.06,36.08,31.59,37.54,39.39
63,7.02,6.47,6.77,6.58,6.59,7.11,6.58,6.53,6.73,5.93,6.93,6.3,6.46,6.34,6.29,6.6,6.14,6.19,6.23,5.62,6.49,5.59
64,14.92,13.68,12.72,16.48,15.35,14.5,14.76,16.32,13.56,13.18,16.03,14.48,12.02,15.98,14.79,13.79,14.25,15.66,12.96,12.35,15.58,13.11
65,38.35,51.01,54.85,49.64,51.3,55.57,40.08,45.79,55.79,49.94,44.22,53.31,56.42,51.08,53.36,57.37,42.07,48,58.56,52.07,46.5,68.03
66,65.03,65.68,84.03,74.79,76.21,73.99,66.72,60.16,84.17,66.77,76.56,69.73,86.19,77.9,79.66,76.67,70.21,63.15,88.84,69.14,81.43,75.92
67,10.35,11.36,10.16,12.07,11.54,12.9,9.66,9.56,9.4,11.6,12.07,9.8,9.04,10.93,10.58,11.7,8.37,8.35,8.15,9.98,10.32,8.02
68,31.13,34.28,34.21,40.9,35.6,35.04,31.07,37.08,38.36,36.06,33.37,38.62,35.22,41.01,36.06,36.64,32.55,37.99,39.72,37.17,35.24,39.96
69,4.39,3.79,4.05,4.81,4.61,4.11,4.13,5.23,4.71,3.99,4.17,3.88,3.8,4.51,4.24,3.81,3.77,4.79,4.35,3.64,3.83,3.24
70,50.95,56.65,54.65,53.99,54.42,56.16,49.05,54.52,51.11,53.66,49.93,51.05,50.1,48.19,49.43,50.55,42.79,48.38,44.6,46.83,43.23,43.52
71,11.76,10.25,9.04,14.43,14.82,11.61,11.33,12.61,11.6,10.67,14.31,9.54,8.15,13.04,13.46,10.22,9.86,11.33,10.08,9.11,12.78,8.17
72,45.19,45.52,43.61,38.14,46.31,43.74,42.82,44.07,42.44,43.61,40.88,38.58,39.28,33.45,41.28,38.21,37.14,38.26,37.03,38.01,34.38,31.84
73,18.52,16.54,14.88,20.86,19.38,19.07,16.9,19.27,16.34,17.2,18.92,18.24,13.71,19.78,18.36,17.63,15.22,17.65,14.82,15.31,17.12,16.14
74,21.38,18.67,14.5,26.95,24.72,21.73,20.55,24.6,21.99,18.75,24.44,19.88,13.31,25.66,23.37,19.78,18.49,23.14,20.17,16.99,22.48,18.28
75,35.82,37.15,39.2,36.68,42.8,42.03,33.77,43.62,38.96,35.8,38.18,37.49,36.63,33.78,39.44,38.29,30.09,39.48,34.78,31.84,33.69,32.88
76,79.91,94.28,94.92,103.22,98.26,101.06,85.4,104.24,103.38,102.35,93.3,92.9,97.68,104.91,100.21,104.79,90.37,107.52,108.2,106.3,98.82,97.38
